"Story","Title","Result","Date","Stability","Duration (s)"
"Mentee Task Page Task Bar","Verify Task description visibility","SUCCESS","2022-11-14T01:07:20.973+07:00[Asia/Bangkok]","0.0","5.89"
"Mentee Task Page Task Bar","Verify Due Date visibility","SUCCESS","2022-11-14T01:07:28.046+07:00[Asia/Bangkok]","0.0","6.59"
"View More Comments and Hide Comments","Verify Hide All comment functionality","SUCCESS","2022-11-14T01:32:19.243+07:00[Asia/Bangkok]","0.0","9.34"
"Mentor Home Page Menu Navigation","Verify Mentor Home Page Menu Navigation and option functionality","SUCCESS","2022-11-14T02:02:07.923+07:00[Asia/Bangkok]","0.0","9.45"
"Mentor Profile Page's Edit Button","Verify Edit Button location","SUCCESS","2022-11-14T02:04:48.719+07:00[Asia/Bangkok]","0.0","1.32"
"Mentor create a task","Verify create a task without attachment","SUCCESS","2022-11-14T02:28:01.68+07:00[Asia/Bangkok]","0.0","9.12"
"Register New Member","Verify register new member with invalid email format","SUCCESS","2022-11-11T22:53:35.367+07:00[Asia/Bangkok]","0.0","5.12"
"Register New Member","Verify email field is case sensitive","SUCCESS","2022-11-11T22:53:41.157+07:00[Asia/Bangkok]","0.0","5.36"
"Register New Member","Verify register new member with less than allowed characters ammount on field email","SUCCESS","2022-11-11T22:53:56.633+07:00[Asia/Bangkok]","0.0","6.67"
"Register New Member","Verify register new member with blank on field email","SUCCESS","2022-11-11T22:54:13.18+07:00[Asia/Bangkok]","0.0","5.44"
"Register New Member","Verify if email field is interactable","SUCCESS","2022-11-11T22:54:27.216+07:00[Asia/Bangkok]","0.0","4.33"
"Register New Member","Verify if Role field is interactable","SUCCESS","2022-11-11T22:54:37.238+07:00[Asia/Bangkok]","0.0","4.52"
"Register New Member","Verify if Role is mandatory","SUCCESS","2022-11-11T22:54:47.842+07:00[Asia/Bangkok]","0.0","5.02"
"Register New Member","Verify if selected role is correct","SUCCESS","2022-11-11T22:54:53.657+07:00[Asia/Bangkok]","0.0","5.05"
"Register New Member","Verify if Class field is interactable","SUCCESS","2022-11-11T22:55:04.667+07:00[Asia/Bangkok]","0.0","4.49"
"Register New Member","Verify register new member with valid password format","SUCCESS","2022-11-11T22:55:40.139+07:00[Asia/Bangkok]","0.0","7.53"
"Register New Member","Verify register new member with more than allowed characters ammount on field password","SUCCESS","2022-11-11T22:55:57.135+07:00[Asia/Bangkok]","0.0","5.33"
"Register New Member","Verify register new member with blank on field password","SUCCESS","2022-11-11T22:56:03.307+07:00[Asia/Bangkok]","0.0","5.6"
"Register New Member","Verify register new member with Emoji on field password","SUCCESS","2022-11-11T22:56:17.751+07:00[Asia/Bangkok]","0.0","5.49"
"Register New Member","Verify register new member without uppercase on field password","SUCCESS","2022-11-11T22:56:30.019+07:00[Asia/Bangkok]","0.0","5.6"
"Register New Member","Verify register new member without numeric on field password","SUCCESS","2022-11-11T22:56:36.487+07:00[Asia/Bangkok]","0.0","5.21"
"Register New Member","Verify account button label","SUCCESS","2022-11-11T22:57:11.621+07:00[Asia/Bangkok]","0.0","4.11"
"Register New Member","Verify pop up message when successfully register new users","SUCCESS","2022-11-11T22:57:16.412+07:00[Asia/Bangkok]","0.0","5.54"
"Register New Member","Verify navigation trough field using TAB and SHIFT+TAB","SUCCESS","2022-11-11T22:57:31.174+07:00[Asia/Bangkok]","0.0","5.68"
"Register New Member","Verify register new member with special character on field name","SUCCESS","2022-11-12T01:30:35.748+07:00[Asia/Bangkok]","0.0","8.21"
"Register New Member","Verify register new member with less than allowed characters ammount on field name","SUCCESS","2022-11-12T01:30:45.469+07:00[Asia/Bangkok]","0.0","9.95"
"Register New Member","Verify register new member with more than allowed characters ammount on field name","SUCCESS","2022-11-12T01:30:56.835+07:00[Asia/Bangkok]","0.0","8.72"
"Register New Member","Verify register new member with Single Space on field name","SUCCESS","2022-11-12T01:31:19.139+07:00[Asia/Bangkok]","0.0","8.56"
"Register New Member","Verify Class placeholder","SUCCESS","2022-11-12T01:38:43.681+07:00[Asia/Bangkok]","0.0","7.94"
"Register New Member","Verify default password field placeholder","SUCCESS","2022-11-12T01:39:05.899+07:00[Asia/Bangkok]","0.0","8.03"
"Register New Member","Verify register new member with less than allowed characters ammount on field password","SUCCESS","2022-11-13T22:59:51.04+07:00[Asia/Bangkok]","0.0","7.15"
"Mentor Review Task Submitted by Mentee","Verify reviewing a task and gave valid score","SUCCESS","2022-11-13T23:13:13.386+07:00[Asia/Bangkok]","0.0","1.14"
